Item,Estimated_Cost,Labor_Hours,Parts_Cost,Notes
Front Bumper Replacement,1200,4,800,Major damage to front bumper
Headlight Assembly,350,2,280,Left headlight cracked
Paint Touch-up,450,3,150,Scratches on driver side door
Windshield Replacement,400,2,320,Small crack spreading
Fender Repair,800,6,500,Dent and scratches on right fender
Tail Light,180,1,120,Broken tail light lens
Mirror Replacement,220,1,180,Side mirror damaged
Hood Dent Repair,600,4,200,Large dent on hood
Grille Replacement,300,2,250,Cracked front grille
Wheel Alignment,120,1,0,Post-repair alignment needed